No,model,dataset,acc_val,acc,'airliner','bicycle','Border collie','cup','dining table','elephant','folding chair','golden retriever','military plane','minibus','Persian cat','school_bus','speedboat','tabby cat','yawl'
26,resnet50_transfer_2_8,test,0.0,0.967,0.893,0.989,0.973,0.992,0.916,0.996,0.958,0.992,0.954,0.969,0.977,0.969,0.969,0.962,0.992,,,,,,,,,,,,,,,
27,resnet50_transfer_10_0,very_dark,0.0,0.429,0.444,0.498,0.732,0.602,0.18,0.498,0.831,0.398,0.138,0.284,0.46,0.448,0.261,0.383,0.264,,,,,,,,,,,,,,,
28,resnet50_transfer_8_2,very_dark,0.0,0.637,0.613,0.766,0.636,0.732,0.648,0.747,0.55,0.617,0.387,0.682,0.644,0.732,0.709,0.406,0.69,,,,,,,,,,,,,,,
29,resnet50_finetuning_10_0,,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
30,resnet50_finetuning_10_0,Dark_test,0.96,0.488,0.28,0.667,0.33,0.701,0.502,0.464,0.646,0.372,0.272,0.314,0.659,0.525,0.72,0.406,0.463,,,,,,,,,,,,,,,
31,resnet50_finetuning_10_0,test,0.96,0.96,0.946,0.981,0.943,0.992,0.943,0.981,0.912,0.969,0.927,0.943,0.981,0.969,0.981,0.946,0.983,,,,,,,,,,,,,,,
32,resnet50_finetuning_10_0,very_dark,0.96,0.369,0.268,0.479,0.199,0.598,0.33,0.307,0.623,0.322,0.207,0.103,0.552,0.395,0.648,0.226,0.273,,,,,,,,,,,,,,,
33,resnet50_finetuning_9_1,,0.92268043756485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
34,resnet50_finetuning_9_1,Dark_test,0.0,0.749,0.682,0.831,0.801,0.881,0.774,0.851,0.665,0.659,0.487,0.797,0.801,0.82,0.736,0.678,0.781,,,,,,,,,,,,,,,
35,resnet50_finetuning_9_1,test,0.0,0.97,0.966,0.977,0.962,0.981,0.935,0.989,0.904,0.973,0.847,0.958,0.943,0.973,0.973,0.992,0.988,0.958,0.985,0.977,0.996,0.966,0.996,0.962,0.989,0.889,0.969,0.969,0.981,0.966,0.962,0.996
36,resnet50_finetuning_9_1,very_dark,0.0,0.691,0.678,0.77,0.705,0.82,0.724,0.778,0.569,0.598,0.421,0.739,0.816,0.778,0.709,0.579,0.686,,,,,,,,,,,,,,,
37,resnet50_finetuning_8_2,,0.8962628841400146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
38,resnet50_finetuning_8_2,Dark_test,0.0,0.734,0.567,0.885,0.732,0.751,0.801,0.747,0.665,0.525,0.632,0.801,0.444,0.943,0.797,0.893,0.831,,,,,,,,,,,,,,,
